지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각
서울,2014.5.8,4,1.5,0:41
서울,2014.5.9,,,
서울,2014.5.10,,,
서울,2014.5.11,23,9,20:07
서울,2014.5.12,10,5,0:37
서울,2014.5.13,,,
서울,2014.5.14,,,
서울,2014.5.15,0.3,0.3,5:44
서울,2014.5.16,,,
서울,2014.5.17,,,
서울,2014.5.18,,,
서울,2014.5.19,,,
서울,2014.5.20,,,
서울,2014.5.21,,,
서울,2014.5.22,,,
서울,2014.5.23,,,
서울,2014.5.24,,,
서울,2014.5.25,21,8.5,21:52
서울,2014.5.26,1.5,1,0:01
서울,2014.5.27,,,
서울,2014.5.28,,,
서울,2014.5.29,,,
서울,2014.5.30,,,
서울,2014.5.31,,,
서울,2014.6.1,,,
서울,2014.6.2,2,0.9,11:41
서울,2014.6.3,33,6,5:32
서울,2014.6.4,,,
서울,2014.6.5,,,
서울,2014.6.6,,,
서울,2014.6.7,,,
서울,2014.6.8,,,
서울,2014.6.9,,,
서울,2014.6.10,5.5,2.5,16:16
서울,2014.6.11,19,14,15:29
서울,2014.6.12,0.1,0.1,
서울,2014.6.13,0,0,
서울,2014.6.14,,,
서울,2014.6.15,,,
서울,2014.6.16,,,
서울,2014.6.17,3.5,3.5,19:55
서울,2014.6.18,0.1,0.1,
서울,2014.6.19,0,0,
서울,2014.6.20,1.5,1,21:10
서울,2014.6.21,8.5,5.5,19:03
서울,2014.6.22,0.4,0.4,19:57
서울,2014.6.23,24.5,14.5,15:40
서울,2014.6.24,,,
서울,2014.6.25,,,
서울,2014.6.26,,,
서울,2014.6.27,,,
서울,2014.6.28,0,0,
서울,2014.6.29,,,
서울,2014.6.30,,,
서울,2014.7.1,,,
서울,2014.7.2,20.5,18,21:50
서울,2014.7.3,2,1,11:05
서울,2014.7.4,,,
서울,2014.7.5,,,
서울,2014.7.6,,,
서울,2014.7.7,,,
서울,2014.7.8,0.2,0.2,
서울,2014.7.9,0.5,0.4,14:44
서울,2014.7.10,,,
서울,2014.7.11,,,
