,year,month,day,week,home,away,stadium,weather,temp,spec,date
84,2023,9,23,토,SSG,롯데,인천SSG 랜더스필드,구름조금,26.5℃,19725,2023-09-23
85,2023,9,23,토,NC,두산,창원NC파크,구름많음,26.4℃,11026,2023-09-23
86,2023,9,23,토,KIA,KT,광주-기아 챔피언스 필드,구름많음,25.4℃,13846,2023-09-23
87,2023,9,22,금,한화,키움,대전 한화생명 이글스파크,구름조금,24.9℃,7088,2023-09-22
88,2023,9,22,금,KIA,KT,광주-기아 챔피언스 필드,구름조금,26.5℃,10221,2023-09-22
89,2023,9,22,금,삼성,두산,대구 삼성 라이온즈 파크,구름조금,26.5℃,11568,2023-09-22
90,2023,9,22,금,SSG,롯데,인천SSG 랜더스필드,맑음,25.3℃,11561,2023-09-22
91,2023,9,22,금,LG,NC,서울 잠실 야구장,맑음,26.7℃,16269,2023-09-22
92,2023,9,21,목,한화,KIA,대전 한화생명 이글스파크,비,21.5℃,7747,2023-09-21
93,2023,9,21,목,키움,NC,서울고척스카이돔,구름많음,23.6℃,5178,2023-09-21
94,2023,9,21,목,KT,롯데,수원케이티위즈파크,흐림,22.4℃,7691,2023-09-21
95,2023,9,21,목,삼성,두산,대구 삼성 라이온즈 파크,비,21.2℃,7596,2023-09-21
96,2023,9,21,목,SSG,LG,인천SSG 랜더스필드,비,22.8℃,12353,2023-09-21
97,2023,9,19,화,한화,SSG,대전 한화생명 이글스파크,흐림,28.3℃,4014,2023-09-19
98,2023,9,19,화,KIA,LG,광주-기아 챔피언스 필드,구름많음,28.6℃,8871,2023-09-19
99,2023,9,19,화,KT,삼성,수원케이티위즈파크,흐림,28.1℃,7216,2023-09-19
100,2023,9,19,화,롯데,키움,부산 사직 야구장,구름조금,29.5℃,5523,2023-09-19
101,2023,9,19,화,두산,NC,서울 잠실 야구장,흐림,27.2℃,6726,2023-09-19
102,2023,9,18,월,KIA,두산,광주-기아 챔피언스 필드,구름조금,30.4℃,3482,2023-09-18
103,2023,9,18,월,한화,KT,대전 한화생명 이글스파크,비,30.1℃,3425,2023-09-18
104,2023,9,17,일,한화,KT,대전 한화생명 이글스파크,흐림,28.6℃,6228,2023-09-17
105,2023,9,17,일,LG,SSG,서울 잠실 야구장,비,28℃,14237,2023-09-17
106,2023,9,17,일,한화,KT,대전 한화생명 이글스파크,흐림,28.6℃,7406,2023-09-17
107,2023,9,17,일,LG,SSG,서울 잠실 야구장,비,28℃,15193,2023-09-17
108,2023,9,17,일,KIA,두산,광주-기아 챔피언스 필드,비,28.7℃,12878,2023-09-17
